id,label
0,Addam-Marbrand
1,Aegon-I-Targaryen
2,Aemon-Targaryen-(Maester-Aemon)
3,Aerys-II-Targaryen
4,Aggo
5,Albett
6,Alliser-Thorne
7,Alyn
8,Arthur-Dayne
9,Arya-Stark
10,Arys-Oakheart
11,Balon-Greyjoy
12,Balon-Swann
13,Barristan-Selmy
14,Benjen-Stark
15,Beric-Dondarrion
16,Boros-Blount
17,Bowen-Marsh
18,Bran-Stark
19,Brandon-Stark
20,Bronn
21,Brynden-Tully
22,Catelyn-Stark
23,Cayn
24,Cersei-Lannister
25,Chella
26,Chett
27,Chiggen
28,Clement-Piper
29,Cohollo
30,Colemon
31,Conn
32,Daenerys-Targaryen
33,Danwell-Frey
34,Dareon
35,Daryn-Hornwood
36,Desmond
37,Dolf
38,Donal-Noye
39,Doreah
40,Drogo
41,Dywen
42,Eddard-Stark
43,Edmure-Tully
44,Eon-Hunter
45,Fogo
46,Galbart-Glover
47,Gared
48,Gerold-Hightower
49,Gregor-Clegane
50,Grenn
51,Gunthor-son-of-Gurn
52,Haggo
53,Halder
54,Hallis-Mollen
55,Harwin
56,Harys-Swyft
57,Heward
58,High-Septon-(fat_one)
59,Hobb
60,Hodor
61,Hosteen-Frey
62,Hoster-Tully
63,Hugh
64,Hullen
65,Illyrio-Mopatis
66,Ilyn-Payne
67,Irri
68,Jafer-Flowers
69,Jaime-Lannister
70,Janos-Slynt
71,Jaremy-Rykker
72,Jeor-Mormont
73,Jeyne-Poole
74,Jhiqui
75,Jhogo
76,Joffrey-Baratheon
77,Jommo
78,Jon-Arryn
79,Jon-Snow
80,Jon-Umber-(Greatjon)
81,Jonos-Bracken
82,Jorah-Mormont
83,Jory-Cassel
84,Joseth
85,Jyck
86,Karyl-Vance
87,Kevan-Lannister
88,Kurleket
89,Lancel-Lannister
90,Leo-Lefford
91,Loras-Tyrell
92,Luwin
93,Lyanna-Stark
94,Lyn-Corbray
95,Lysa-Arryn
96,Mace-Tyrell
97,Maege-Mormont
98,Maegor-I-Targaryen
99,Marillion
100,Marq-Piper
101,Meryn-Trant
102,Mirri-Maz-Duur
103,Mord
104,Mordane
105,Morrec
106,Mycah
107,Myrcella-Baratheon
108,Nan
109,Osha
110,Petyr-Baelish
111,Pycelle
112,Pypar
113,Qotho
114,Quaro
115,Randyll-Tarly
116,Rast
117,Raymun-Darry
118,Renly-Baratheon
119,Rhaegar-Targaryen
120,Rickard-Karstark
121,Rickon-Stark
122,Robb-Stark
123,Robert-Arryn
124,Robert-Baratheon
125,Rodrik-Cassel
126,Roose-Bolton
127,Sandor-Clegane
128,Sansa-Stark
129,Shae
130,Shagga
131,Stannis-Baratheon
132,Stevron-Frey
133,Theon-Greyjoy
134,Timett
135,Tommen-Baratheon
136,Tyrion-Lannister
137,Tywin-Lannister
138,Waymar-Royce
139,Clydas
140,Samwell-Tarly
141,Rakharo
142,Tomard
143,Syrio-Forel
144,Vayon-Poole
145,Yoren
146,Varys
147,Mance-Rayder
148,Thoros-of-Myr
149,Hali
150,Rickard-Stark
151,Stiv
152,Vardis-Egen
153,Willis-Wode
154,Nestor-Royce
155,Walder-Frey
156,Donnel-Waynwood
157,Masha-Heddle
158,Moreo-Tumitis
159,Mya-Stone
160,Mychel-Redfort
161,Tytos-Blackwood
162,Wendel-Manderly
163,Coratt
164,Eroeh
165,Viserys-Targaryen
166,Jared-Frey
167,Torrhen-Karstark
168,Ogo
169,Rhaego
170,Gendry
171,Howland-Reed
172,Jacks
173,Joss
174,Porther
175,Tobho-Mott
176,Tregar
177,Varly
178,Wyl-(guard)
179,Wylla
180,Will-(prologue)
181,Oswell-Whent
182,Todder
183,Matthar
184,Othor
185,Paxter-Redwyne
186,Ulf-son-of-Umar
